N muestras, Voltaje
1,0260
2,0414
3,0593
4,0732
5,0830
6,0995
7,1003
8,1009
9,0979
10,0866
11,0743
12,0572
13,0433
14,0239
15,0165
16,0040
17,0006
18,0024
19,0049
20,0116
