N muestras, Voltaje
1,0973
2,1011
3,0989
4,0855
5,0673
6,0491
7,0252
8,0086
9,0014
10,0001
11,0070
12,0218
13,0413
14,0667
15,0843
16,0996
17,1016
18,0985
19,0843
20,0662
