N muestras, Voltaje
1,0791
2,0455
3,0192
4,0018
5,0015
6,0244
7,0562
8,0872
9,0994
10,0980
11,0736
12,0431
13,0156
14,0037
15,0043
16,0254
17,0562
18,0856
19,1015
20,0953
