N muestras, Voltaje
1,0719
2,0314
3,0006
4,0062
5,0376
6,0833
7,1019
8,0840
9,0497
10,0143
11,0016
12,0222
13,0650
14,0978
15,0970
16,0649
17,0228
18,0017
19,0107
20,0437
