N muestras, Voltaje
1,0065
2,0019
3,0031
4,0085
5,0206
6,0391
7,0570
8,0727
9,0898
10,1003
11,0995
12,0989
13,0868
14,0758
15,0561
16,0380
17,0213
18,0107
19,0006
20,0010
