N muestras, Voltaje
1,4029
2,3136
3,1681
4,0086
5,0105
6,1313
7,3088
8,3983
9,3691
10,2425
11,0759
12,0048
13,0716
14,2142
15,3676
16,4021
17,2923
18,1240
19,0208
20,0234
