N muestras, Voltaje
1,1356
2,0000
3,1525
4,3651
5,3452
6,1292
7,0039
8,1460
9,3665
10,3556
11,1124
12,0025
13,1573
14,3931
15,3362
16,0882
17,0077
18,1852
19,3960
20,3455
